username	firstChoice	secondChoice	thirdChoice	fourthChoice	fifthChoice	sixthChoice	seventhChoice	peer1	peer2	peer3	peer4	form	lens	teacherWt	interestWt	peerWt	spacer
shiw200	Marko Tandefelt	Chris Romero	David Carroll	Jess Irish	Anezka Sebek	Aneta Genova	Colleen Macklin					"App / Program, Performance"	"Artist, Entrepreneur, Professional Designer"	5 points	2 points	3 points	
zhanx203	Aneta Genova	Chris Romero	Jess Irish	David Carroll	Marko Tandefelt	Anezka Sebek	Colleen Macklin	mcdoj329	wangl073	randj063	saidc308	"Game, Installation, Product"	"Academic Researcher, Artist, Critical Designer"	2 points	5 points	3 points	
saidc308	Marko Tandefelt	Colleen Macklin	Chris Romero	Anezka Sebek	Jess Irish	David Carroll	Aneta Genova					"Film, Data Visualization, Product"	"Activist, Entrepreneur, Professional Designer"	5 points	5 points	0 points	
bonnl287	Colleen Macklin	Anezka Sebek	Jess Irish	Aneta Genova	David Carroll	Marko Tandefelt	Chris Romero	burka186	pages	byrdt279	millb313	"Game, VR / AR, interactive narrative"	"Academic Researcher, Activist, Critical Designer"	3 points	2 points	5 points	
sombs266	Colleen Macklin	David Carroll	Marko Tandefelt	Aneta Genova	Jess Irish	Chris Romero	Anezka Sebek	mustw826	pages	collb038	chenk461	"Film, Product, Web"	"Academic Researcher, Activist, Entrepreneur"	5 points	3 points	2 points	
pub598	Colleen Macklin	Anezka Sebek	David Carroll	Aneta Genova	Jess Irish	Chris Romero	Marko Tandefelt	jianh550	yenv672	zhouy546		"Game, VR / AR"	Artist	3 points	3 points	4 points	
chouc018	Jess Irish	Colleen Macklin	Aneta Genova	Chris Romero	Anezka Sebek	Marko Tandefelt	David Carroll					"Installation, Web"	"Artist, Critical Designer"	5 points	5 points	0 points	
liuq833	Colleen Macklin	Aneta Genova	David Carroll	Jess Irish	Marko Tandefelt	Chris Romero	Anezka Sebek	weij540	shiw200	zhanx203	lim852	"Animation, Game, Data Visualization"	"Critical Designer, Educator, Professional Designer"	5 points	4 points	1 point	
demcj563	David Carroll	Chris Romero	Jess Irish	Marko Tandefelt	Colleen Macklin	Anezka Sebek	Aneta Genova	mcdoj329	yub582	wangl073	mustw826	"Animation, Film, Installation"	"Academic Researcher, Critical Designer, Professional Designer"	4 points	4 points	2 points	
tothn598	Jess Irish	Marko Tandefelt	David Carroll	Anezka Sebek	Chris Romero	Colleen Macklin	Aneta Genova	henrt555	boehk215	parar943	dinsa681	"Animation, Garment / Wearable, Installation"	"Activist, Artist, Critical Designer"	3 points	4 points	3 points	
randj063	David Carroll	Anezka Sebek	Marko Tandefelt	Colleen Macklin	Chris Romero	Jess Irish	Aneta Genova	jung235	saidc308	florr422	mahau289	"App / Program, Product, VR / AR"	"Academic Researcher, Professional Designer"	4 points	4 points	2 points	
mcdoj329	Marko Tandefelt	Aneta Genova	Colleen Macklin	Chris Romero	David Carroll	Jess Irish	Anezka Sebek	demcj563	kangm827	trand285	shehl044	"Garment / Wearable, Performance, Product"	"Academic Researcher, Entrepreneur, Professional Designer"	5 points	3 points	2 points	
syamu557	David Carroll	Jess Irish	Chris Romero	Marko Tandefelt	Anezka Sebek	Colleen Macklin	Aneta Genova	choy311	dothh489	chinj194	mutcs247	"App / Program, Data Visualization, Web"	"Academic Researcher, Critical Designer, Professional Designer"	4 points	4 points	2 points	
yub582	Aneta Genova	Marko Tandefelt	Chris Romero	David Carroll	Colleen Macklin	Anezka Sebek	Jess Irish	hallr841	kangm827	trand285		"Installation, Performance"	"Artist, Critical Designer, Professional Designer"	4 points	3 points	3 points	
henrt555	Marko Tandefelt	Colleen Macklin	Jess Irish	David Carroll	Aneta Genova	Anezka Sebek	Chris Romero	mahau289	florr422	rezas630	tothn598	"Film, Installation, VR / AR"	"Academic Researcher, Artist, Critical Designer"	5 points	3 points	2 points	
jianj890	Marko Tandefelt	Jess Irish	Chris Romero	Anezka Sebek	Colleen Macklin	Aneta Genova	David Carroll	wangl073	weij540	lamh657	saidc308	"Art work, Installation, Performance"	"Artist, Critical Designer"	5 points	4 points	1 point	
lamh657	Anezka Sebek	Colleen Macklin	David Carroll	Aneta Genova	Jess Irish	Chris Romero	Marko Tandefelt	collz893	henrt555	zhouy546	randj063	"Game, Garment / Wearable, Installation"	"Artist, Entrepreneur, Professional Designer"	5 points	3 points	2 points	
mutcs247	Marko Tandefelt	Anezka Sebek	Colleen Macklin	Chris Romero	Jess Irish	Aneta Genova	David Carroll	henrt555	mahau289	tothn598	kumam802	"App / Program, Product, Web"	"Artist, Critical Designer"	5 points	3 points	2 points	
chenk461	Aneta Genova	David Carroll	Anezka Sebek	Marko Tandefelt	Jess Irish	Colleen Macklin	Chris Romero	jung235	wattd590	mustw826	mcdoj329	"Art work, Garment / Wearable, Product"	"Artist, Critical Designer, Professional Designer"	5 points	5 points	4 points	
wangl073	Marko Tandefelt	Jess Irish	Anezka Sebek	Colleen Macklin	David Carroll	Aneta Genova	Chris Romero	jianj890	lih060	henrt555	zhang224	"Game, Installation"	"Artist, Critical Designer, Educator"	3 points	5 points	2 points	
collz893	Colleen Macklin	Marko Tandefelt	Anezka Sebek	David Carroll	Aneta Genova	Chris Romero	Jess Irish	sombs266	lamh657	henrt555	mustw826	"Animation, Film, Installation"	"Artist, Critical Designer, Professional Designer"	4 points	3 points	3 points	
parar943	Marko Tandefelt	Jess Irish	Anezka Sebek	David Carroll	Colleen Macklin	Chris Romero	Aneta Genova	cruzi280	pages	binnk152	lafoc311	"Film, Installation, VR / AR"	"Academic Researcher, Activist, Critical Designer"	5 points	3 points	2 points	
jianh550	Colleen Macklin	Anezka Sebek	Aneta Genova	Marko Tandefelt	Chris Romero	Jess Irish	David Carroll	pub598	yenv672	zhouy546		"Game, App / Program, VR / AR"	"Artist, Entrepreneur, Professional Designer"	5 points	1 point	4 points	
zhouy043	Colleen Macklin	Anezka Sebek	Jess Irish	Chris Romero	Marko Tandefelt	Aneta Genova	David Carroll	jianh550	yenv672	pub598		Game	"Artist, Entrepreneur, Professional Designer"	3 points	2 points	5 points	
yenv672	Colleen Macklin	Anezka Sebek	Aneta Genova	David Carroll	Jess Irish	Marko Tandefelt	Chris Romero	jianh550	pub598	zhaot745		"Game, VR / AR"	"Artist, Entrepreneur, Professional Designer"	5 points	0 points	5 points	
tsukb234	Colleen Macklin	Anezka Sebek	David Carroll	Jess Irish	Chris Romero	Marko Tandefelt	Aneta Genova	yenv672	collb038	hallr841	contj186	"Game, App / Program, Web"	"Critical Designer, Entrepreneur, Professional Designer"	4 points	4 points	3 points	
gernc653	Aneta Genova	Chris Romero	Jess Irish	Marko Tandefelt	David Carroll	Colleen Macklin	Anezka Sebek	florr422	kangm827	henrt555	lafoc311	"Art work, Installation, Performance"	"Artist, Critical Designer"	5 points	2 points	3 points	
